DESCRIPTIONS,Quantity,
,,,AMT (SGD)
Project :  Suly of 2 Pernod Ricard Full Time Brand Ambassador for Sho.,,,
Dates :  01 Setember 2019 to 31 October 2019,,,
"Venues :  T2 De, T3 De.",,,
Quote Ref :  Q1906-157,,,"$11,253.00"
PO No :  93195036,,,
This Invoice is for Full Payment,,,
ERE LAST TEM # ORE EE,,,
,Sub-total : ,,"$11,253.00"
,7% GST,,$787.71
