PO NO.,NET AMOUNT(USD)
76195059 Promoters Salary in Se - LOTTE USD,,"59,566.94"
- 76195060 Promoters Salary in Se - Shinsegae USD,,"12,309.16"
76195061 Promoters Salary in Se - Shilla USD,,"22,329.37"
- 76195062 Promoters Salary in Se - Entas USD,,"9,843.35"
- 76195063 Promoters Salary in Se - SMDF USD,,"11,709.86"
USD,,"115,758.68"
TOTAL :,,"USD 115,758.68"
"Beneficiary : Darin & Co., Ltd.",,
"Bank Name : Woori Bank, Agujeong-Rodeo Branch",,
